iter	Passed	Remaining
0	142	142104
1	142	71287
2	143	47667
3	143	35853
4	144	28766
5	145	24038
6	145	20661
7	146	18130
8	146	16159
9	147	14582
10	147	13295
11	148	12225
12	149	11316
13	149	10537
14	150	9864
15	150	9274
16	151	8755
17	151	8292
18	152	7879
19	153	7506
20	153	7169
21	154	6863
22	155	6587
23	155	6331
24	156	6094
25	156	5877
26	157	5676
27	158	5487
28	158	5311
29	159	5146
30	159	4994
31	160	4851
32	160	4717
33	161	4590
34	162	4471
35	162	4357
36	163	4253
37	164	4153
38	164	4058
39	165	3965
40	165	3877
41	166	3795
42	167	3716
43	167	3642
44	168	3570
45	169	3506
46	169	3441
47	170	3380
48	171	3321
49	171	3262
50	172	3206
51	172	3152
52	173	3099
53	174	3049
54	174	3001
55	175	2954
56	175	2908
57	176	2865
58	177	2823
59	177	2783
60	178	2743
61	178	2705
62	179	2668
63	180	2633
64	180	2599
65	181	2566
66	181	2534
67	182	2498
68	182	2468
69	183	2438
70	184	2409
71	184	2381
72	185	2353
73	185	2326
74	186	2300
75	187	2276
76	187	2250
77	188	2226
78	189	2203
79	189	2180
80	190	2157
81	190	2136
82	191	2114
83	192	2094
84	192	2071
85	193	2051
86	193	2030
87	194	2011
88	194	1993
89	195	1976
90	196	1959
91	196	1943
92	197	1926
93	198	1909
94	198	1892
95	199	1876
96	199	1860
97	200	1845
98	201	1830
99	201	1814
100	202	1800
101	202	1784
102	203	1770
103	203	1756
104	204	1743
105	205	1729
106	205	1716
107	206	1703
108	206	1691
109	207	1679
110	208	1667
111	208	1655
112	210	1648
113	210	1637
114	211	1626
115	211	1614
116	212	1604
117	213	1594
118	213	1583
119	214	1573
120	215	1563
121	215	1553
122	216	1542
123	216	1532
124	217	1523
125	218	1514
126	219	1505
127	219	1495
128	220	1485
129	220	1478
130	221	1469
131	222	1460
132	222	1452
133	223	1444
134	224	1436
135	224	1428
136	225	1419
137	225	1411
138	226	1403
139	227	1396
140	228	1389
141	228	1381
142	229	1373
143	229	1366
144	230	1359
145	231	1352
146	231	1345
147	232	1337
148	233	1330
149	233	1323
150	234	1316
151	234	1309
152	235	1302
153	235	1295
154	236	1290
155	237	1284
156	238	1279
157	238	1273
158	239	1266
159	240	1261
160	240	1255
161	241	1249
162	242	1244
163	243	1239
164	243	1234
165	244	1228
166	245	1223
167	246	1218
168	246	1213
169	247	1207
170	248	1202
171	248	1197
172	249	1191
173	249	1186
174	250	1181
175	251	1175
176	251	1170
177	252	1165
178	253	1160
179	253	1155
180	253	1149
181	254	1143
182	255	1139
183	255	1134
184	256	1129
185	257	1125
186	257	1120
187	258	1116
188	259	1111
189	259	1107
190	260	1102
191	260	1097
192	261	1093
193	262	1088
194	262	1084
195	263	1079
196	263	1075
197	264	1070
198	265	1066
199	265	1062
200	266	1058
201	266	1054
202	267	1049
203	267	1045
204	268	1041
205	269	1037
206	269	1033
207	270	1029
208	270	1025
209	271	1021
210	272	1017
211	272	1014
212	273	1010
213	274	1006
214	274	1002
215	275	999
216	275	995
217	276	992
218	277	989
219	277	985
220	278	981
221	279	978
222	279	974
223	280	971
224	280	967
225	281	964
226	282	961
227	282	958
228	283	954
229	284	951
230	284	948
231	285	944
232	286	941
233	286	938
234	287	935
235	287	932
236	288	929
237	289	925
238	289	922
239	290	919
240	291	916
241	291	913
242	292	910
243	292	907
244	293	904
245	294	901
246	294	898
247	295	895
248	295	892
249	296	889
250	297	886
251	297	884
252	298	881
253	299	878
254	299	875
255	300	873
256	301	870
257	301	867
258	302	865
259	302	862
260	303	859
261	304	857
262	304	854
263	305	852
264	306	849
265	306	846
266	307	844
267	308	841
268	308	839
269	309	836
270	310	834
271	310	831
272	311	828
273	311	826
274	312	824
275	313	821
276	313	819
277	314	816
278	315	814
279	315	811
280	316	809
281	316	806
282	317	804
283	318	802
284	318	799
285	319	797
286	320	795
287	320	793
288	321	790
289	322	788
290	322	786
291	323	783
292	323	781
293	324	779
294	325	777
295	325	775
296	326	773
297	327	770
298	327	768
299	328	766
300	329	764
301	329	762
302	330	759
303	330	757
304	331	755
305	332	753
306	332	751
307	333	748
308	333	746
309	334	744
310	334	742
311	335	739
312	336	737
313	336	735
314	337	733
315	337	731
316	338	729
317	339	727
318	339	725
319	340	723
320	340	720
321	341	718
322	342	716
323	342	714
324	343	713
325	343	711
